,score,pvalue,FDR,mesh_terms
Organic Chemicals,0.0131017,2.16512E-27,1.21247E-24,"Trypan Blue;Merbromin;Suloctidil;Iodohippuric Acid;Methylnitronitrosoguanidine;Oxaloacetic Acid;Chlormequat;Aminoethylphosphonic Acid;Tetraethylammonium;Zinc Acetate;Clodronic Acid;Vitamin K 3;Cetrimonium;Putrescine;Oxalic Acid;Trifluoroacetic Acid;Metformin;Penicillamine;Dichloroacetic Acid;Iron-Dextran Complex;4-Aminobenzoic Acid;Valproic Acid;Nitrilotriacetic Acid;Iodoacetic Acid;2,4-Dichlorophenoxyacetic Acid;Mitoguazone;Tetramisole;Zineb;Etidronic Acid;Azathioprine;Etidocaine;Chloralose;Technetium Tc 99m Mertiatide;Inositol 1,4,5-Trisphosphate;Technetium Tc 99m Dimercaptosuccinic Acid;Calcium Citrate;Ipodate;Carubicin;Sildenafil Citrate;Afatinib;Alcuronium;Esomeprazole;Oxytetracycline;Thiocholine;Mesna;Sodium Acetate"
"Acids, Acyclic",0.0562771,2.55592E-16,7.15658E-14,"Oxaloacetic Acid;Zinc Acetate;Oxalic Acid;Trifluoroacetic Acid;Dichloroacetic Acid;Valproic Acid;Nitrilotriacetic Acid;Iodoacetic Acid;2,4-Dichlorophenoxyacetic Acid;Zineb;Technetium Tc 99m Dimercaptosuccinic Acid;Calcium Citrate;Sodium Acetate"
Carboxylic Acids,0.0291829,1.39169E-14,2.59782E-12,"Iodohippuric Acid;Oxaloacetic Acid;Zinc Acetate;Oxalic Acid;Trifluoroacetic Acid;Dichloroacetic Acid;4-Aminobenzoic Acid;Valproic Acid;Nitrilotriacetic Acid;Iodoacetic Acid;2,4-Dichlorophenoxyacetic Acid;Zineb;Technetium Tc 99m Dimercaptosuccinic Acid;Calcium Citrate;Sodium Acetate"
Inorganic Chemicals,0.0163785,4.66416E-13,6.52983E-11,Ammonium Sulfate;Tin Fluorides;Selenic Acid;Vitallium;Tetrathionic Acid;Calcium Sulfate;Iodides;Selenium Oxides;Acidulated Phosphate Fluoride;Potassium Permanganate;Sodium Selenite;Zinc Sulfate;Vanadates;Ferrosoferric Oxide;Osmium Tetroxide;Calcium Citrate;Aluminum Hydroxide;Dithionite
Acetates,0.148936,3.61172E-12,4.04513E-10,"Zinc Acetate;Trifluoroacetic Acid;Dichloroacetic Acid;Nitrilotriacetic Acid;Iodoacetic Acid;2,4-Dichlorophenoxyacetic Acid;Sodium Acetate"
"Heterocyclic Compounds, Fused-Ring",0.0149597,2.3692E-09,1.89536E-07,Guanosine Diphosphate Mannose;NADP;Amiodarone;Aminacrine;Azathioprine;Ivabradine;Guanosine Diphosphate Fucose;Sildenafil Citrate;Propidium;Afatinib;Alcuronium;Esomeprazole;Acetyl Coenzyme A
Sulfur Compounds,0.178571,2.08479E-09,1.94581E-07,Ammonium Sulfate;Tetrathionic Acid;Calcium Sulfate;Zinc Sulfate;Dithionite
Heterocyclic Compounds,0.00895522,6.23101E-09,3.48936E-07,Guanosine Diphosphate Mannose;NADP;Amiodarone;Aminacrine;Tetramisole;Oxazolone;Azathioprine;Cilazapril;Diphenoxylate;Ivabradine;Guanosine Diphosphate Fucose;Sildenafil Citrate;Propidium;Almitrine;Afatinib;Alcuronium;Esomeprazole;Acetyl Coenzyme A
Sulfur Compounds,0.0219298,5.05309E-09,3.53716E-07,Trypan Blue;Penicillamine;Tetramisole;Zineb;Azathioprine;Technetium Tc 99m Dimercaptosuccinic Acid;Sildenafil Citrate;Esomeprazole;Thiocholine;Mesna
Carbohydrates,0.0215983,5.81733E-09,3.61967E-07,"Maltose;Guanosine Diphosphate Mannose;Iron-Dextran Complex;Glucosamine;Gum Arabic;Chloralose;Inositol 1,4,5-Trisphosphate;Guanosine Diphosphate Fucose;Carubicin;Tragacanth"
"Heterocyclic Compounds, 2-Ring",0.0170543,1.09228E-08,5.09733E-07,Guanosine Diphosphate Mannose;NADP;Amiodarone;Azathioprine;Ivabradine;Guanosine Diphosphate Fucose;Sildenafil Citrate;Afatinib;Alcuronium;Esomeprazole;Acetyl Coenzyme A
Sulfuric Acids,0.333333,1.05402E-08,5.36593E-07,Ammonium Sulfate;Tetrathionic Acid;Calcium Sulfate;Zinc Sulfate
Sulfur Acids,0.25,2.79202E-08,1.11681E-06,Ammonium Sulfate;Tetrathionic Acid;Calcium Sulfate;Zinc Sulfate
Quaternary Ammonium Compounds,0.102041,2.70388E-08,1.16475E-06,Chlormequat;Tetraethylammonium;Cetrimonium;Alcuronium;Thiocholine
Onium Compounds,0.0980392,3.25747E-08,1.21612E-06,Chlormequat;Tetraethylammonium;Cetrimonium;Alcuronium;Thiocholine
Purines,0.0508475,5.37984E-08,1.88294E-06,Guanosine Diphosphate Mannose;NADP;Azathioprine;Guanosine Diphosphate Fucose;Sildenafil Citrate;Acetyl Coenzyme A
Quaternary Ammonium Compounds,0.0862069,5.94032E-08,1.95681E-06,Chlormequat;Tetraethylammonium;Cetrimonium;Alcuronium;Thiocholine
Selenium Compounds,0.6,2.10811E-07,6.55858E-06,Selenic Acid;Selenium Oxides;Sodium Selenite
Amines,0.0201511,3.26149E-07,9.61281E-06,Suloctidil;Chlormequat;Tetraethylammonium;Cetrimonium;Putrescine;Etidocaine;Alcuronium;Thiocholine
Hydrocarbons,0.0117521,4.24172E-07,1.18768E-05,Trypan Blue;Iodohippuric Acid;Vitamin K 3;Trifluoroacetic Acid;Dichloroacetic Acid;4-Aminobenzoic Acid;Iodoacetic Acid;Ipodate;Carubicin;Oxytetracycline;Mesna
Sulfates,0.3,1.07039E-06,2.85438E-05,Ammonium Sulfate;Calcium Sulfate;Zinc Sulfate
Organometallic Compounds,0.0888889,1.1779E-06,2.9983E-05,Merbromin;Zineb;Technetium Tc 99m Mertiatide;Technetium Tc 99m Dimercaptosuccinic Acid
Purine Nucleotides,0.0833333,1.49949E-06,3.65094E-05,Guanosine Diphosphate Mannose;NADP;Guanosine Diphosphate Fucose;Acetyl Coenzyme A
Purine Nucleotides,0.0816327,1.6199E-06,3.77976E-05,Guanosine Diphosphate Mannose;NADP;Guanosine Diphosphate Fucose;Acetyl Coenzyme A
Anions,0.0666667,3.46738E-06,7.76692E-05,Iodides;Vanadates;Aluminum Hydroxide;Dithionite
Ions,0.0615385,4.68868E-06,0.000100987,Iodides;Vanadates;Aluminum Hydroxide;Dithionite
Electrolytes,0.0597015,5.25672E-06,0.000109028,Iodides;Vanadates;Aluminum Hydroxide;Dithionite
Sulfhydryl Compounds,0.125,1.07703E-05,0.000215407,Technetium Tc 99m Dimercaptosuccinic Acid;Thiocholine;Mesna
Trimethyl Ammonium Compounds,0.12,1.20488E-05,0.000232666,Chlormequat;Cetrimonium;Thiocholine
Guanidines,0.111111,1.48975E-05,0.000269117,Methylnitronitrosoguanidine;Metformin;Mitoguazone
Ribonucleotides,0.0454545,1.47297E-05,0.000274955,Guanosine Diphosphate Mannose;NADP;Guanosine Diphosphate Fucose;Acetyl Coenzyme A
"Hydrocarbons, Aromatic",0.0142276,1.64512E-05,0.000287897,Trypan Blue;Iodohippuric Acid;Vitamin K 3;4-Aminobenzoic Acid;Ipodate;Carubicin;Oxytetracycline
Organophosphonates,0.1,1.99502E-05,0.000338549,Aminoethylphosphonic Acid;Clodronic Acid;Etidronic Acid
"Hydrocarbons, Halogenated",0.0412371,2.12858E-05,0.00035059,Trifluoroacetic Acid;Dichloroacetic Acid;Iodoacetic Acid;Ipodate
Amidines,0.0909091,2.6017E-05,0.000364238,Methylnitronitrosoguanidine;Metformin;Mitoguazone
Guanosine Diphosphate Sugars,0.666667,2.42665E-05,0.000367277,Guanosine Diphosphate Mannose;Guanosine Diphosphate Fucose
Guanosine Diphosphate Sugars,0.666667,2.42665E-05,0.000367277,Guanosine Diphosphate Mannose;Guanosine Diphosphate Fucose
Guanosine Diphosphate Sugars,0.666667,2.42665E-05,0.000367277,Guanosine Diphosphate Mannose;Guanosine Diphosphate Fucose
Guanosine Diphosphate Sugars,0.666667,2.42665E-05,0.000367277,Guanosine Diphosphate Mannose;Guanosine Diphosphate Fucose
Guanosine Diphosphate Sugars,0.666667,2.42665E-05,0.000367277,Guanosine Diphosphate Mannose;Guanosine Diphosphate Fucose
Polysaccharides,0.0357143,3.66445E-05,0.000446108,Maltose;Iron-Dextran Complex;Gum Arabic;Tragacanth
Acetic Acid,0.5,3.63621E-05,0.000468109,Zinc Acetate;Sodium Acetate
Guanosine Diphosphate,0.5,3.63621E-05,0.000468109,Guanosine Diphosphate Mannose;Guanosine Diphosphate Fucose
Guanosine Diphosphate,0.5,3.63621E-05,0.000468109,Guanosine Diphosphate Mannose;Guanosine Diphosphate Fucose
Guanosine Diphosphate,0.5,3.63621E-05,0.000468109,Guanosine Diphosphate Mannose;Guanosine Diphosphate Fucose
Dicarboxylic Acids,0.0810811,3.58342E-05,0.000489443,Oxaloacetic Acid;Oxalic Acid;Technetium Tc 99m Dimercaptosuccinic Acid
Polycyclic Aromatic Hydrocarbons,0.034188,4.32104E-05,0.000514847,Trypan Blue;Vitamin K 3;Carubicin;Oxytetracycline
Oxalates,0.4,5.08541E-05,0.00057532,Oxaloacetic Acid;Oxalic Acid
Plant Gums,0.4,5.08541E-05,0.00057532,Gum Arabic;Tragacanth
Cariostatic Agents,0.4,5.08541E-05,0.00057532,Tin Fluorides;Acidulated Phosphate Fluoride
Cariostatic Agents,0.4,5.08541E-05,0.00057532,Tin Fluorides;Acidulated Phosphate Fluoride
Glycosides,0.032,5.54477E-05,0.000597129,Guanosine Diphosphate Mannose;Chloralose;Guanosine Diphosphate Fucose;Carubicin
"Hydrocarbons, Cyclic",0.0116279,5.77351E-05,0.000610031,Trypan Blue;Iodohippuric Acid;Vitamin K 3;4-Aminobenzoic Acid;Ipodate;Carubicin;Oxytetracycline
Plant Gums,0.333333,6.77353E-05,0.000695995,Gum Arabic;Tragacanth
Plant Gums,0.333333,6.77353E-05,0.000695995,Gum Arabic;Tragacanth
Fluorides,0.285714,8.69979E-05,0.000869979,Tin Fluorides;Acidulated Phosphate Fluoride
Polycyclic Aromatic Hydrocarbons,0.0273973,9.94333E-05,0.000976889,Trypan Blue;Vitamin K 3;Carubicin;Oxytetracycline
Hydrofluoric Acid,0.25,0.000108635,0.00104889,Tin Fluorides;Acidulated Phosphate Fluoride
Fluorine Compounds,0.222222,0.000132638,0.00124836,Tin Fluorides;Acidulated Phosphate Fluoride
Diphosphonates,0.222222,0.000132638,0.00124836,Clodronic Acid;Etidronic Acid
"Hydrocarbons, Iodinated",0.2,0.000159001,0.00145968,Iodoacetic Acid;Ipodate
Organotechnetium Compounds,0.181818,0.000187716,0.0016955,Technetium Tc 99m Mertiatide;Technetium Tc 99m Dimercaptosuccinic Acid
Calcium Compounds,0.142857,0.000287897,0.00253894,Calcium Sulfate;Calcium Citrate
Keto Acids,0.142857,0.000287897,0.00253894,Iodohippuric Acid;Oxaloacetic Acid
Guanine Nucleotides,0.133333,0.000325946,0.00278671,Guanosine Diphosphate Mannose;Guanosine Diphosphate Fucose
Guanine Nucleotides,0.133333,0.000325946,0.00278671,Guanosine Diphosphate Mannose;Guanosine Diphosphate Fucose
Sodium Compounds,0.125,0.000366309,0.00301667,Acidulated Phosphate Fluoride;Sodium Selenite
Guanine Nucleotides,0.125,0.000366309,0.00301667,Guanosine Diphosphate Mannose;Guanosine Diphosphate Fucose
Plant Exudates,0.125,0.000366309,0.00301667,Gum Arabic;Tragacanth
"Heterocyclic Compounds, 1-Ring",0.00816803,0.000480944,0.00384755,Tetramisole;Oxazolone;Cilazapril;Diphenoxylate;Sildenafil Citrate;Almitrine;Esomeprazole
Nucleotides,0.0178571,0.000488998,0.00385688,Guanosine Diphosphate Mannose;NADP;Guanosine Diphosphate Fucose;Acetyl Coenzyme A
Nucleoside Diphosphate Sugars,0.105263,0.000501219,0.00387148,Guanosine Diphosphate Mannose;Guanosine Diphosphate Fucose
Nucleoside Diphosphate Sugars,0.105263,0.000501219,0.00387148,Guanosine Diphosphate Mannose;Guanosine Diphosphate Fucose
Nucleotides,0.1,0.00055077,0.00416799,Guanosine Diphosphate Mannose;Guanosine Diphosphate Fucose
Organophosphorus Compounds,0.0306122,0.000563172,0.00420501,Aminoethylphosphonic Acid;Clodronic Acid;Etidronic Acid
Naphthacenes,0.0909091,0.000656702,0.00480723,Carubicin;Oxytetracycline
Naphthacenes,0.0909091,0.000656702,0.00480723,Carubicin;Oxytetracycline
Adenine Nucleotides,0.08,0.000832566,0.0059774,NADP;Acetyl Coenzyme A
"Amino Acids, Peptides, and Proteins",0.000335533,0.000922819,0.0065415,Glycine;Penicillamine;Technetium Tc 99m Mertiatide
Amides,0.0149254,0.000942555,0.00659789,Iodohippuric Acid;Etidocaine;Sildenafil Citrate;Afatinib
Adenine Nucleotides,0.0740741,0.000961035,0.00660343,NADP;Acetyl Coenzyme A
Adenine Nucleotides,0.0740741,0.000961035,0.00660343,NADP;Acetyl Coenzyme A
Minerals,0.0689655,0.00109842,0.00736665,Calcium Sulfate;Ferrosoferric Oxide
Coenzymes,0.0689655,0.00109842,0.00736665,NADP;Acetyl Coenzyme A
Polycyclic Compounds,0.00763359,0.00406377,0.00818601,Trypan Blue;Vitamin K 3;17-alpha-Hydroxypregnenolone;Carubicin;Oxytetracycline
Sulfuric Acids,0.5,0.00467798,0.00864576,Tetrathionic Acid
Chromium Alloys,0.5,0.00467798,0.00864576,Vitallium
Sulfites,0.5,0.00467798,0.00864576,Dithionite
Sodium Fluoride,0.5,0.00467798,0.00864576,Acidulated Phosphate Fluoride
Manganese Compounds,0.5,0.00467798,0.00864576,Potassium Permanganate
Chromium Alloys,0.5,0.00467798,0.00864576,Vitallium
Osmium Compounds,0.5,0.00467798,0.00864576,Osmium Tetroxide
Selenious Acid,0.5,0.00467798,0.00864576,Sodium Selenite
Sodium Fluoride,0.5,0.00467798,0.00864576,Acidulated Phosphate Fluoride
Sulfites,0.5,0.00467798,0.00864576,Dithionite
Vanadium Compounds,0.5,0.00467798,0.00864576,Vanadates
Chloral Hydrate,0.5,0.00467798,0.00864576,Chloralose
Metformin,0.5,0.00467798,0.00864576,Metformin
Nitrosoguanidines,0.5,0.00467798,0.00864576,Methylnitronitrosoguanidine
Tetraethylammonium Compounds,0.5,0.00467798,0.00864576,Tetraethylammonium
Toxiferine,0.5,0.00467798,0.00864576,Alcuronium
Cetrimonium Compounds,0.5,0.00467798,0.00864576,Cetrimonium
Fluoroacetates,0.5,0.00467798,0.00864576,Trifluoroacetic Acid
"2,4-Dichlorophenoxyacetic Acid",0.5,0.00467798,0.00864576,"2,4-Dichlorophenoxyacetic Acid"
Oxalic Acid,0.5,0.00467798,0.00864576,Oxalic Acid
Oxaloacetates,0.5,0.00467798,0.00864576,Oxaloacetic Acid
Succimer,0.5,0.00467798,0.00864576,Technetium Tc 99m Dimercaptosuccinic Acid
Hippurates,0.5,0.00467798,0.00864576,Iodohippuric Acid
"2,4-Dichlorophenoxyacetic Acid",0.5,0.00467798,0.00864576,"2,4-Dichlorophenoxyacetic Acid"
Oxaloacetates,0.5,0.00467798,0.00864576,Oxaloacetic Acid
Hippurates,0.5,0.00467798,0.00864576,Iodohippuric Acid
Fluoroacetates,0.5,0.00467798,0.00864576,Trifluoroacetic Acid
Nitrosoguanidines,0.5,0.00467798,0.00864576,Methylnitronitrosoguanidine
Cetrimonium Compounds,0.5,0.00467798,0.00864576,Cetrimonium
Tetraethylammonium Compounds,0.5,0.00467798,0.00864576,Tetraethylammonium
Toxiferine,0.5,0.00467798,0.00864576,Alcuronium
Penicillamine,0.5,0.00467798,0.00864576,Penicillamine
Succimer,0.5,0.00467798,0.00864576,Technetium Tc 99m Dimercaptosuccinic Acid
Omeprazole,0.5,0.00467798,0.00864576,Esomeprazole
Toxiferine,0.5,0.00467798,0.00864576,Alcuronium
Omeprazole,0.5,0.00467798,0.00864576,Esomeprazole
Omeprazole,0.5,0.00467798,0.00864576,Esomeprazole
Amiodarone,0.5,0.00467798,0.00864576,Amiodarone
Toxiferine,0.5,0.00467798,0.00864576,Alcuronium
Toxiferine,0.5,0.00467798,0.00864576,Alcuronium
Mercaptopurine,0.5,0.00467798,0.00864576,Azathioprine
Pregnenolone,0.5,0.00467798,0.00864576,17-alpha-Hydroxypregnenolone
Pregnenolone,0.5,0.00467798,0.00864576,17-alpha-Hydroxypregnenolone
Glucosamine,0.5,0.00467798,0.00864576,Glucosamine
Penicillamine,0.5,0.00467798,0.00864576,Penicillamine
Chromium Alloys,0.5,0.00467798,0.00864576,Vitallium
Chromium Alloys,0.5,0.00467798,0.00864576,Vitallium
Chromium Alloys,0.5,0.00467798,0.00864576,Vitallium
Chromium Alloys,0.5,0.00467798,0.00864576,Vitallium
Acidulated Phosphate Fluoride,1,0.00312108,0.00937161,Acidulated Phosphate Fluoride
Tetrathionic Acid,1,0.00312108,0.00937161,Tetrathionic Acid
Aluminum Hydroxide,1,0.00312108,0.00937161,Aluminum Hydroxide
Aluminum Hydroxide,1,0.00312108,0.00937161,Aluminum Hydroxide
Calcium Citrate,1,0.00312108,0.00937161,Calcium Citrate
Calcium Sulfate,1,0.00312108,0.00937161,Calcium Sulfate
Vitallium,1,0.00312108,0.00937161,Vitallium
Aluminum Hydroxide,1,0.00312108,0.00937161,Aluminum Hydroxide
Iodides,1,0.00312108,0.00937161,Iodides
Dithionite,1,0.00312108,0.00937161,Dithionite
Vanadates,1,0.00312108,0.00937161,Vanadates
Acidulated Phosphate Fluoride,1,0.00312108,0.00937161,Acidulated Phosphate Fluoride
Tin Fluorides,1,0.00312108,0.00937161,Tin Fluorides
Ferrosoferric Oxide,1,0.00312108,0.00937161,Ferrosoferric Oxide
Ferrosoferric Oxide,1,0.00312108,0.00937161,Ferrosoferric Oxide
Potassium Permanganate,1,0.00312108,0.00937161,Potassium Permanganate
Vitallium,1,0.00312108,0.00937161,Vitallium
Calcium Sulfate,1,0.00312108,0.00937161,Calcium Sulfate
Ferrosoferric Oxide,1,0.00312108,0.00937161,Ferrosoferric Oxide
Ammonium Sulfate,1,0.00312108,0.00937161,Ammonium Sulfate
Osmium Tetroxide,1,0.00312108,0.00937161,Osmium Tetroxide
Osmium Tetroxide,1,0.00312108,0.00937161,Osmium Tetroxide
Acidulated Phosphate Fluoride,1,0.00312108,0.00937161,Acidulated Phosphate Fluoride
Potassium Permanganate,1,0.00312108,0.00937161,Potassium Permanganate
Selenic Acid,1,0.00312108,0.00937161,Selenic Acid
Sodium Selenite,1,0.00312108,0.00937161,Sodium Selenite
Selenium Oxides,1,0.00312108,0.00937161,Selenium Oxides
Acidulated Phosphate Fluoride,1,0.00312108,0.00937161,Acidulated Phosphate Fluoride
Sodium Selenite,1,0.00312108,0.00937161,Sodium Selenite
Dithionite,1,0.00312108,0.00937161,Dithionite
Ammonium Sulfate,1,0.00312108,0.00937161,Ammonium Sulfate
Calcium Sulfate,1,0.00312108,0.00937161,Calcium Sulfate
Zinc Sulfate,1,0.00312108,0.00937161,Zinc Sulfate
Tetrathionic Acid,1,0.00312108,0.00937161,Tetrathionic Acid
Tin Fluorides,1,0.00312108,0.00937161,Tin Fluorides
Vanadates,1,0.00312108,0.00937161,Vanadates
Zinc Sulfate,1,0.00312108,0.00937161,Zinc Sulfate
Suloctidil,1,0.00312108,0.00937161,Suloctidil
Chloralose,1,0.00312108,0.00937161,Chloralose
Suloctidil,1,0.00312108,0.00937161,Suloctidil
"Inositol 1,4,5-Trisphosphate",1,0.00312108,0.00937161,"Inositol 1,4,5-Trisphosphate"
Afatinib,1,0.00312108,0.00937161,Afatinib
Etidocaine,1,0.00312108,0.00937161,Etidocaine
Iodohippuric Acid,1,0.00312108,0.00937161,Iodohippuric Acid
Sildenafil Citrate,1,0.00312108,0.00937161,Sildenafil Citrate
Mitoguazone,1,0.00312108,0.00937161,Mitoguazone
Methylnitronitrosoguanidine,1,0.00312108,0.00937161,Methylnitronitrosoguanidine
Suloctidil,1,0.00312108,0.00937161,Suloctidil
Etidocaine,1,0.00312108,0.00937161,Etidocaine
Suloctidil,1,0.00312108,0.00937161,Suloctidil
Putrescine,1,0.00312108,0.00937161,Putrescine
Tetraethylammonium,1,0.00312108,0.00937161,Tetraethylammonium
Alcuronium,1,0.00312108,0.00937161,Alcuronium
Cetrimonium,1,0.00312108,0.00937161,Cetrimonium
Chlormequat,1,0.00312108,0.00937161,Chlormequat
Trypan Blue,1,0.00312108,0.00937161,Trypan Blue
Sodium Acetate,1,0.00312108,0.00937161,Sodium Acetate
Zinc Acetate,1,0.00312108,0.00937161,Zinc Acetate
Dichloroacetic Acid,1,0.00312108,0.00937161,Dichloroacetic Acid
Trifluoroacetic Acid,1,0.00312108,0.00937161,Trifluoroacetic Acid
Iodoacetic Acid,1,0.00312108,0.00937161,Iodoacetic Acid
Nitrilotriacetic Acid,1,0.00312108,0.00937161,Nitrilotriacetic Acid
Zineb,1,0.00312108,0.00937161,Zineb
Oxaloacetic Acid,1,0.00312108,0.00937161,Oxaloacetic Acid
Technetium Tc 99m Dimercaptosuccinic Acid,1,0.00312108,0.00937161,Technetium Tc 99m Dimercaptosuccinic Acid
Calcium Citrate,1,0.00312108,0.00937161,Calcium Citrate
Valproic Acid,1,0.00312108,0.00937161,Valproic Acid
4-Aminobenzoic Acid,1,0.00312108,0.00937161,4-Aminobenzoic Acid
Iodohippuric Acid,1,0.00312108,0.00937161,Iodohippuric Acid
Iodohippuric Acid,1,0.00312108,0.00937161,Iodohippuric Acid
Oxaloacetic Acid,1,0.00312108,0.00937161,Oxaloacetic Acid
Iron-Dextran Complex,1,0.00312108,0.00937161,Iron-Dextran Complex
Mesna,1,0.00312108,0.00937161,Mesna
4-Aminobenzoic Acid,1,0.00312108,0.00937161,4-Aminobenzoic Acid
Iodohippuric Acid,1,0.00312108,0.00937161,Iodohippuric Acid
Ipodate,1,0.00312108,0.00937161,Ipodate
Carubicin,1,0.00312108,0.00937161,Carubicin
Oxytetracycline,1,0.00312108,0.00937161,Oxytetracycline
Trypan Blue,1,0.00312108,0.00937161,Trypan Blue
Vitamin K 3,1,0.00312108,0.00937161,Vitamin K 3
Dichloroacetic Acid,1,0.00312108,0.00937161,Dichloroacetic Acid
Trifluoroacetic Acid,1,0.00312108,0.00937161,Trifluoroacetic Acid
Iodoacetic Acid,1,0.00312108,0.00937161,Iodoacetic Acid
Ipodate,1,0.00312108,0.00937161,Ipodate
Vitamin K 3,1,0.00312108,0.00937161,Vitamin K 3
Methylnitronitrosoguanidine,1,0.00312108,0.00937161,Methylnitronitrosoguanidine
Cetrimonium,1,0.00312108,0.00937161,Cetrimonium
Chlormequat,1,0.00312108,0.00937161,Chlormequat
Tetraethylammonium,1,0.00312108,0.00937161,Tetraethylammonium
Alcuronium,1,0.00312108,0.00937161,Alcuronium
Merbromin,1,0.00312108,0.00937161,Merbromin
Technetium Tc 99m Dimercaptosuccinic Acid,1,0.00312108,0.00937161,Technetium Tc 99m Dimercaptosuccinic Acid
Technetium Tc 99m Mertiatide,1,0.00312108,0.00937161,Technetium Tc 99m Mertiatide
Zineb,1,0.00312108,0.00937161,Zineb
Aminoethylphosphonic Acid,1,0.00312108,0.00937161,Aminoethylphosphonic Acid
Clodronic Acid,1,0.00312108,0.00937161,Clodronic Acid
Etidronic Acid,1,0.00312108,0.00937161,Etidronic Acid
Vitamin K 3,1,0.00312108,0.00937161,Vitamin K 3
Mesna,1,0.00312108,0.00937161,Mesna
